"","CCSM","CNRM","FGOALS","GISS","IPSL","MIROC","MPI","MRI"
"1",0.00702547446321644,0.0831456522680062,0.000748358964991356,0.00259163696379877,8.79538481839324e-06,6.81271644387494e-06,0.354200048063866,0.00235553463310046
"2",0.0567668077603553,0.137931543681122,0.012630370212425,0.00223721303539055,0.00443831745878125,0.00446219806857857,0.231339528304249,0.0296423395941386
"3",0.593485716210768,0.16663882451723,0.088120243427916,0.00828373297957061,0.0182151249600975,0.577427437790308,0.148642943709208,0.404285250497322
"4",0.542927266816543,0.194576616135635,0.681057142553888,0.458210994766595,0.536344251454022,0.224389137886408,0.0467943767897529,0.245246219549376
"5",0.00459405797645244,0.00370595967057159,0.0433016089435583,0.0192951009107361,0.000346070873979565,0.00279240926467934,2.89788090751841e-05,0.00104710790641198
"6",0.00881948646757654,0.0273306225442808,0.0355111616600326,0.0457130782951703,0.00107914819413983,0.00289317444472013,0.000277271363490749,0.00114307739398797
"7",0.0303682540367588,0.0158946668605563,0.132066706606835,0.0664181129524484,0.00101130631886241,0.00562273584232816,0.0010590288864902,0.00177554895362791
"8",0.0364207087751601,0.047927349247078,0.0865957303324482,0.0325471641754296,0.000219966729116591,0.00148565337025507,0.000455349961632593,0.00595075656766811
"9",0.516551451586152,0.73479473426463,0.893668393743834,0.395474522544727,0.0177354043333647,0.960769100702249,0.325068624489938,0.463512398489357
"10",0.389788245116134,0.402333369448286,0.261673752087432,0.687352803717743,0.744445855066204,0.291078400235499,0.55102127242637,0.334165713242254
"11",0.796878492380065,0.544842343223547,0.396633981435209,0.0157871014957032,0.159972726363002,0.0419476013020366,0.0983385741982016,0.564806911523168
"12",0.0464378793346133,0.215388241447039,0.00184137929454627,0.0876508614172063,0.000672154430732631,0.00311846118240514,0.0710048453556606,0.0194356424148901
