"","CCSM","CNRM","FGOALS","GISS","IPSL","MIROC","MPI","MRI"
"1",0.0276079098297019,0.0148395887637643,0.0038036229139926,0.00796422483597461,0.034044052624458,0.00533040929327637,0.0107293483727863,0.00455826429855924
"2",0.0218062096363445,0.0152715059694735,0.00343000216393611,0.00810965775982198,0.0329150884981678,0.00509364923167129,0.00805342611054293,0.0041967305145101
"3",0.0199855566541576,0.01390938915686,0.0039401590412289,0.00868352388717663,0.0257813675476241,0.00586299370857039,0.00787863194392553,0.00530019575180377
"4",0.0142882289000576,0.00788921962344729,0.00378465790581276,0.00704041040424607,0.0197364548236935,0.0077351130746724,0.00527353065000486,0.00458929932526353
"5",0.00821826112731572,0.0044751751272482,0.00328361329465484,0.00481000021992485,0.0215508263304824,0.0127235207496749,0.00410636214723008,0.00291548969318422
"6",0.00471663943225041,0.00301158537854877,0.00201416813624343,0.00310639731835148,0.0190233041866626,0.00974900647317848,0.00241088392026771,0.00198067544091818
"7",0.00328209431434929,0.0030222555878159,0.00183461983986616,0.00259367414763841,0.0151737222327488,0.0077421973671795,0.00136271175180052,0.00160847694549619
"8",0.00773611417340475,0.00882355341008886,0.00338967437675269,0.00672571282548984,0.0276467260460454,0.00874042331189888,0.00335023891453309,0.00429604890469545
"9",0.0151603304119579,0.0239932130287376,0.00594214470044124,0.0142557880117647,0.0397899850711564,0.00419394609080767,0.00616676455629141,0.00854207201993972
"10",0.0587115831647286,0.0595456852841258,0.0616818515815605,0.0289147283502314,0.138093915514457,0.0292888734056998,0.0262084030511471,0.0219290497153102
"11",0.0773548531871856,0.0475658477500834,0.015340180405935,0.0237813830221498,0.0936379091760475,0.0215313114072661,0.0385862482813477,0.0186488563176735
"12",0.0460184472995219,0.0258368007088385,0.00601889582208687,0.0113501212233954,0.0326322288001189,0.00677888277207354,0.0196397951361395,0.0083692148359071
