"cod","lon","lat","month_n","CCSM_tasmin","CNRM_tasmin","FGOALS_tasmin","GISS_tasmin","IPSL_tasmin","MIROC_tasmin","MPI_tasmin","MRI_tasmin"
83488,-42.85,-17.85,"1",20.8041210174561,17.7704925537109,17.661714553833,19.510612487793,15.2833652496338,20.5045604705811,19.8887920379639,20.2645416259766
83488,-42.85,-17.85,"10",18.0449275970459,15.2259702682495,18.1864356994629,18.5403785705566,12.5460901260376,18.6392765045166,17.8599967956543,18.3676071166992
83488,-42.85,-17.85,"11",19.7861957550049,16.0366230010986,17.9354400634766,19.2880668640137,14.064022064209,19.8543758392334,18.9248466491699,19.3097591400146
83488,-42.85,-17.85,"12",20.5879287719727,17.26344871521,17.5151901245117,19.4615631103516,14.6192646026611,20.1540756225586,19.5074977874756,19.9733390808105
83488,-42.85,-17.85,"2",20.9217720031738,18.0975093841553,17.8114223480225,19.4327449798584,15.6892051696777,20.4045372009277,19.921688079834,20.2895545959473
83488,-42.85,-17.85,"3",20.6497573852539,17.2970924377441,17.3471870422363,19.1439685821533,15.1059885025024,19.8363952636719,19.4119701385498,20.0321388244629
83488,-42.85,-17.85,"4",19.2084522247314,14.7071418762207,16.0681343078613,18.2059555053711,13.4614210128784,18.1784286499023,17.6456336975098,18.4130439758301
83488,-42.85,-17.85,"5",16.7944831848145,11.9145526885986,14.423957824707,16.7205009460449,10.3498783111572,15.894024848938,15.6384620666504,16.3951530456543
83488,-42.85,-17.85,"6",15.2150163650513,9.46537494659424,13.3487844467163,14.7516002655029,8.6785888671875,14.2506551742554,14.2320938110352,14.6477308273315
83488,-42.85,-17.85,"7",14.4400987625122,9.11866283416748,13.207935333252,14.3029022216797,7.78249979019165,13.6120042800903,13.5992860794067,14.013783454895
83488,-42.85,-17.85,"8",14.5060901641846,10.4815435409546,14.58069896698,15.1620893478394,8.03985595703125,14.2974224090576,14.1587057113647,14.5573129653931
83488,-42.85,-17.85,"9",15.9228115081787,13.3744230270386,16.8107681274414,17.0506019592285,9.66753578186035,16.6670913696289,15.768012046814,16.2889995574951
83538,-43.64,-18.23,"1",21.1161766052246,17.44118309021,17.4502811431885,19.5896625518799,15.3749122619629,20.2096939086914,19.4826335906982,19.9410209655762
83538,-43.64,-18.23,"10",18.3389205932617,15.2503862380981,17.9881629943848,18.8438930511475,12.952109336853,18.2342987060547,17.5020141601562,18.4742774963379
83538,-43.64,-18.23,"11",20.2035236358643,15.9357328414917,17.6801300048828,19.4195003509521,14.1844005584717,19.5250473022461,18.4822673797607,19.1997623443604
83538,-43.64,-18.23,"12",20.9102516174316,17.045804977417,17.34401512146,19.5089492797852,14.598913192749,19.8410720825195,19.0810966491699,19.7400035858154
83538,-43.64,-18.23,"2",21.2045917510986,17.6670246124268,17.5646114349365,19.4927864074707,15.9281435012817,20.086727142334,19.4960060119629,19.9555168151855
83538,-43.64,-18.23,"3",20.7983493804932,16.8661098480225,17.0750007629395,19.1736850738525,15.2642126083374,19.4552726745605,18.9174175262451,19.6584320068359
83538,-43.64,-18.23,"4",19.2083587646484,14.0325107574463,15.6996583938599,18.246452331543,13.5581655502319,17.7076644897461,16.9213447570801,17.9550476074219
83538,-43.64,-18.23,"5",16.5668048858643,11.1501731872559,14.0974617004395,16.7910308837891,10.4815893173218,15.3108196258545,14.7572402954102,15.6027250289917
83538,-43.64,-18.23,"6",14.7781476974487,8.72309970855713,13.0380382537842,14.7291917800903,8.8696928024292,13.5996475219727,13.184042930603,13.6122388839722
83538,-43.64,-18.23,"7",14.05615234375,8.52095222473145,13.0662145614624,14.3236322402954,8.02494144439697,13.0155572891235,12.497992515564,12.8954439163208
83538,-43.64,-18.23,"8",14.3247394561768,10.1949472427368,14.5981817245483,15.3826313018799,8.43043899536133,13.7888298034668,13.2984323501587,13.8107576370239
83538,-43.64,-18.23,"9",15.990460395813,13.4503469467163,17.0129470825195,17.4787483215332,10.0851535797119,16.2594184875488,15.2132930755615,16.1497135162354
83550,-39.85,-18.7,"1",24.9278888702393,23.6650333404541,21.6805667877197,23.6545009613037,17.7165794372559,22.5795593261719,23.1404876708984,24.4095630645752
83550,-39.85,-18.7,"10",22.2985782623291,20.0165100097656,19.411808013916,21.6578979492188,14.0649013519287,19.4871253967285,20.5371570587158,22.2715148925781
83550,-39.85,-18.7,"11",23.5668258666992,21.0208473205566,20.2462730407715,22.5991268157959,15.4857740402222,20.7115879058838,21.5053424835205,23.1274871826172
83550,-39.85,-18.7,"12",24.4606456756592,22.5428504943848,21.0158863067627,23.2534122467041,16.7113075256348,21.7572841644287,22.3929557800293,23.9369449615479
83550,-39.85,-18.7,"2",25.2573738098145,24.0739917755127,21.9520568847656,23.7872009277344,18.2638854980469,22.8808116912842,23.3019161224365,24.6596031188965
83550,-39.85,-18.7,"3",25.2527275085449,23.5749645233154,21.6358737945557,23.7167739868164,18.1099586486816,22.7096118927002,22.9310836791992,24.6616134643555
83550,-39.85,-18.7,"4",24.5404567718506,22.0188083648682,20.8469696044922,23.1113357543945,17.1347503662109,21.7049942016602,21.9622058868408,23.9238891601562
83550,-39.85,-18.7,"5",23.1459140777588,20.0333766937256,19.6100330352783,21.9766654968262,14.8972120285034,20.1809139251709,20.3521289825439,22.7698535919189
83550,-39.85,-18.7,"6",21.939208984375,18.499361038208,18.4610366821289,20.5381679534912,13.2979850769043,18.9736213684082,19.1715354919434,21.550199508667
83550,-39.85,-18.7,"7",21.050350189209,17.8905429840088,17.7214698791504,19.7185115814209,12.296293258667,18.2143440246582,18.5063457489014,20.7950267791748
83550,-39.85,-18.7,"8",20.6127948760986,18.1036262512207,17.8097743988037,19.7270317077637,11.8659982681274,17.9519538879395,18.5667495727539,20.618839263916
83550,-39.85,-18.7,"9",21.1649265289307,19.0759983062744,18.477445602417,20.5474758148193,12.4961833953857,18.5198822021484,19.2906379699707,21.1644077301025
83589,-43.43,-19.02,"1",20.2677612304688,17.4743499755859,17.6303367614746,19.4158058166504,15.5118188858032,20.4758358001709,18.9549293518066,20.0709552764893
83589,-43.43,-19.02,"10",17.2024059295654,14.7022895812988,17.5219116210938,18.3373775482178,12.3679685592651,18.0283260345459,16.7105808258057,18.0750846862793
83589,-43.43,-19.02,"11",19.0712699890137,15.6008310317993,17.4828910827637,18.9777088165283,13.5853891372681,19.4344940185547,17.6415348052979,18.9061279296875
83589,-43.43,-19.02,"12",19.9382381439209,16.9301624298096,17.3909549713135,19.2481479644775,14.4890670776367,19.9714832305908,18.4422206878662,19.6711883544922
83589,-43.43,-19.02,"2",20.3650150299072,17.5432376861572,17.765495300293,19.292911529541,15.9536447525024,20.3941211700439,19.0422058105469,20.0828819274902
