"","CCSM","CNRM","FGOALS","GISS","IPSL","MIROC","MPI","MRI"
"1",-0.0378471179955622,0.542311521421836,-0.226368230355953,-0.587353456917284,-0.257014809136852,-0.610401340606257,0.422799371951248,0.70648525918667
"2",0.0178840597693101,0.546063081042094,-0.107071596485675,-0.69926869955288,-0.236106224732017,-0.623942686383645,0.519354278156782,0.796729120063598
"3",0.210737834355247,0.539026979431422,0.0524273338322888,-0.679879115429379,-0.237033486678623,-0.687911435608173,0.435448518628629,0.796010466672614
"4",0.314327996753417,0.588282233230326,-0.370198758545059,-0.63411285619768,-0.266679035588931,-0.753643286488219,0.459499131193694,0.808723999596528
"5",0.398868345506183,0.548100067911457,-0.470692263129612,-0.489336242568926,-0.0262859779399393,-0.795815555610761,0.624387861083043,0.794492256627061
"6",0.45841576235191,0.486991920721544,-0.558300606089003,-0.274412754607675,0.219269424093579,-0.729569952288876,0.664433249158443,0.788792412829063
"7",0.331216088765916,0.265807818316016,-0.641769184862202,-0.453150382727713,-0.173465103350535,-0.743790081140392,0.563453574921705,0.75038496403289
"8",-0.0494777586052452,-0.0250986302449611,-0.5174350513684,-0.448485789343977,-0.270919306529881,-0.604730036890822,0.375897698008305,0.652183006087816
"9",-0.367435715116921,-0.0459244142446977,-0.373995118734807,-0.295897569157376,-0.201790152084095,-0.410780740611319,0.202745636690673,0.0350541499416242
"10",-0.356930382194091,0.00380083524228157,-0.324590494800143,-0.297463572270997,-0.191251527261492,-0.403547593186958,-0.0111500136826311,-0.060601321823693
"11",-0.346160462951401,0.0348387970677581,-0.400192982616696,-0.449881577937285,-0.232936659639305,-0.53276524002183,0.0198060586346723,0.250228961548791
"12",-0.0772248956036126,0.29093620997585,-0.32594009292771,-0.580641023755414,-0.32299065608101,-0.633949618710055,0.258340491982657,0.715168260634526
