"","CCSM","CNRM","FGOALS","GISS","IPSL","MIROC","MPI","MRI"
"1",-0.0378471179955527,0.542311521421844,-0.226368230355962,-0.587353456917277,-0.257014809136827,-0.610401340606261,0.422799371951261,0.706485259186675
"2",-0.595966687049368,-0.310191492445262,-0.622749917197942,-0.603322528423016,-0.417967775125509,-0.678986134427943,-0.260535225502263,-0.327078780861186
"3",-0.400851538203219,-0.0213365391912312,-0.528214859411419,-0.573166234306607,-0.416490882744505,-0.668265244126722,0.0218570943210332,0.0737468956745721
"4",-0.00418903054333612,0.410775073488161,-0.319439211717836,-0.574285776043596,-0.397556052265112,-0.693346876881476,0.326244101842505,0.723077262742412
"5",0.111147196142424,0.716142494225717,-0.0277545281240048,-0.632183393837433,-0.206377782418246,-0.677396919321929,0.605618503227307,0.772327613711545
"6",0.305111227416813,0.627430294816651,0.111814705435207,-0.663506519329106,-0.219457343479574,-0.711659399475027,0.528740982133121,0.822445649538804
"7",0.265218272840021,0.568051798775933,-0.342589302909644,-0.633456633653262,-0.217967641389284,-0.719215478795671,0.425328135761077,0.782555789354269
"8",0.204881722587207,0.427592258513489,-0.418152151231961,-0.483095374075961,0.0152040438187591,-0.700312467842958,0.428217104740175,0.650028154906651
"9",0.191080117284025,0.422962726774719,-0.282154997146626,-0.174525451956269,0.314061486261186,-0.64145082686638,0.381109500728888,0.511212427298326
"10",0.156699899807685,0.315416951180891,-0.381287257403048,-0.257914145127047,0.0180310839955814,-0.531382339203894,0.360424948421945,0.547799128403137
"11",-0.0769638113583579,-0.0530733539425714,-0.514029179851597,-0.470514101645133,-0.232986769772332,-0.61004367481833,0.342912060424569,0.661386091614373
"12",-0.526605986606648,-0.372075602282778,-0.649139480987813,-0.597550477311342,-0.416471705906256,-0.684474153470052,0.0472543120599817,-0.192387679818376
