"","prec_r","prec_p","tasmax_r","tasmax_p","tasmin_r","tasmin_p"
"CCSM",0.83407864181605,2.8720854525773e-32,0.529583296257296,4.99572776501637e-10,0.850503646766086,1.01704790667049e-34
"CNRM",0.85401119706082,2.79102954997721e-35,0.539791152419043,1.99086439675961e-10,0.867403604072016,1.43912797602424e-37
"FGOALS",0.854445227739841,2.37275966732882e-35,0.251036859894204,0.00568147802111079,0.87271237292826,1.51796306891158e-38
"GISS",0.655384578678172,4.5886319115893e-16,0.126596026530804,0.168257373349853,0.88095639046744,3.75051083855239e-40
"IPSL",0.75297895291347,3.46499697442948e-23,0.336503300718396,0.000171396232993157,0.798060532923422,1.00579317689941e-27
"MIROC",0.843397496614887,1.26541731660599e-33,0.283815828768432,0.00168162699659578,0.838917330177874,5.81969015034509e-33
"MPI",0.878661427147631,1.07942344038084e-39,0.614207092654579,8.61936146018215e-14,0.882068633536233,2.2293207174734e-40
"MRI",0.818212748911368,3.8346234002679e-30,0.632337119274995,9.46617368476702e-15,0.893419821278133,8.00924354236175e-43
