"","CCSM","CNRM","FGOALS","GISS","IPSL","MIROC","MPI","MRI"
"1",0.688801645620111,0.73787959317754,0.818324924630467,0.778633657880114,0.669961258249205,0.801240788875497,0.760055694097651,0.809367194562077
"2",0.651476919992833,0.62303966463094,0.606523015653596,0.71401812836391,0.568901544568025,0.688626167612258,0.731035700655955,0.748968596061802
"3",0.640266456262187,0.671458571027187,0.774800244766033,0.747960208648189,0.636652448882367,0.743939818262585,0.718296943886008,0.770653523051899
"4",0.709061730520718,0.754759153115707,0.816294487926737,0.797621857685467,0.686773615644534,0.795040375070482,0.773080390473026,0.814543072468051
"5",0.767250348076208,0.810867857851724,0.79814360207522,0.807960936362035,0.629267245907148,0.73928405574225,0.807361499459456,0.828574972501488
"6",0.80146207684209,0.830180542257092,0.82845503442549,0.832156951345651,0.721717368970661,0.768210859856873,0.837196180472273,0.851865713976872
"7",0.816613725538765,0.834877071488771,0.857216062131862,0.840838606288469,0.764512905662266,0.793581240329801,0.858942883324908,0.860945407445196
"8",0.77764485532898,0.790205480650816,0.834734933492613,0.794797778046746,0.731790471200689,0.783539145232407,0.825273132229623,0.81342635195177
"9",0.755690794486716,0.758135174283743,0.821215965303942,0.770653929632804,0.697815278712389,0.793010299700117,0.807163121402017,0.788186537010565
"10",0.697114011130603,0.70207368704864,0.7745971293702,0.72034024833831,0.633824526542354,0.754110093473605,0.752541759714951,0.745474780934448
"11",0.675402793453989,0.68924023558426,0.76451894918499,0.700434073904736,0.609484457750511,0.750899287571879,0.733620366521613,0.737087806797225
"12",0.683763510658893,0.661663504935554,0.758475375686476,0.703617338727171,0.638943746867621,0.788831673976074,0.742575825961374,0.745794680445303
