"","CCSM","CNRM","FGOALS","GISS","IPSL","MIROC","MPI","MRI"
"1",0.00702547446321681,0.0831456522680058,0.000748358964991358,0.00259163696379879,8.79538481839219e-06,6.81271644387476e-06,0.354200048063863,0.00235553463310046
"2",0.796474349272109,0.712690738256697,0.0798669779065528,0.440161284339382,0.611913391109193,0.0041138279297026,0.146432869479231,0.454127896503778
"3",0.33542389294428,0.993957047771399,0.103355701823318,0.100405612865934,0.0450018162292874,0.00660385093027585,0.0148535499010628,0.200864595904352
"4",0.226448575317114,0.24213831818935,0.144206268262501,0.956643574101579,0.218559133293307,0.257514994550571,0.958872673169228,0.0271157181268155
"5",0.191170397183061,0.217475376705551,0.00874408503491268,0.0806692386225749,0.00261578092824542,0.0131198868897748,0.0061268721854516,0.000998586798136763
"6",0.895026077292247,0.914826151897271,0.000393809338882541,0.0499367702110991,0.0128138797737407,0.388886538221841,2.16564993038784e-05,0.312954608941302
"7",0.0623404798724449,0.00367107095253818,0.121733768232091,0.0178191432966164,0.448074730333589,0.00821652326606582,4.15911482823757e-06,0.00167520042971455
"8",0.00296991514925847,0.00133071157024947,0.0397612279089853,0.0097603139635933,0.000144640077910646,0.00224582731748035,6.0543283076297e-06,0.000486508735500813
"9",0.0291770527215576,0.0311364166892536,0.0601555224722178,0.0683880320039347,0.00316863570833075,0.00780818136374165,0.0021799385181694,0.0071101031564755
"10",0.686352805077841,0.503150750536211,0.853005701997664,0.89781691311678,0.265943145089621,0.422954754606934,0.21447770805554,0.308382589661744
"11",0.00520928642294679,0.0292934820231515,0.0397778806366152,0.00333757436294655,0.0774726045882039,0.0222957786465954,0.0490739651941001,0.0162727846769424
"12",0.306482763506927,0.717745356087158,0.713612929091557,0.280934288939561,0.050933696755926,0.826452536372514,0.495776768789216,0.306355607169662
